crimedescr,frequency
TRAFFIC-ACCIDENT-NON INJURY,175
POSSIBLE STOLEN PROPERTY-I RPT,5
484E(A)PC THEFT OF CREDIT CARD,2
JUVENILE OFFENDER-PROBATION,1
529 PC FALSE PERSONATION,23
647(B) PC   PROSTITUTION,39
647(F) PC DIP - DISORDERLY,25
11360(A)HS SALE/TRANSP MARIJ,1
FAMILY DISTURBANCE - I RPT,13
PERSON INFORMATION - I RPT,16
FORGERY-COUNTERFEITING,1
11358 HS CULTIVATE MARIJUANA,1
DUI I RPT,1
9.04.050 A DRINKING IN PUBLIC,9
197 JUSTIFIABLE HOMI-CIVILIAN,1
653M(A) PC OBSCENE/THREAT CALL,17
10855 VC LSE/RENT NOT RETURNED,3
4140 BP  POSS OF HYPO NEEDLE,16
484 PETTY THEFT/LICENSE PLATE,119
503 PC   EMBEZZLEMENT,4
23103(A) RECKLESS ON HIGHWAY,8
25661 BP FALSE EVIDENCE OF AGE,2
23152(A) VC DUI-ALCOHOL/DRUGS,84
459 PC  BURGLARY VEHICLE,462
NON INJ HR/MAIL OUT REPORT,90
ABC LICENSE VIO/INFO - I RPT,4
594(B)(2)(A)VANDALISM GRAF-400,22
212.5(A)ROBBERY-INHAB DWELLING,8
2800.2(A) VC EVADING/RECKLESS,5
243(D) PC BATT/CIVILIAN W/INJ,26
246.3 PC NEGL DISCH FIREARM,2
602.1(A)TRES OBST BUSIN OPERAT,1
417(A)1) PC BRANDISH NON-GUN,8
RECOVERED PROPERTY - I RPT,5
12021(A)(1)PC FELON POSS FRARM,8
FILE-UNABLE TO DEFINE - I RPT,1
459 PC  BURGLARY RESIDENCE,356
476 PC PASS FICTICIOUS CHECK,21
3056 PC PAROLE VIOLATION,5
HIT AND RUN /SUSPECTS- I RPT,7
INTOX REPORT/ADMIN PER - I RPT,1
245(A)(1)AWDW/NO FIREARM/CIVIL,76
594(B)(1)VANDALISM GRAF +$400,9
290(A)(1)(A) FAIL REG-CHG ADD,1
SUSP PERS-NO CRIME - I RPT,44
243.4(E)(1)TOUCH FOR SEX PLEAS,2
487(D) PC GRAND THEFT AUTO,1
484 PC   PETTY THEFT/INSIDE,99
3056 PAROLE VIO - I RPT,27
ACCIDENTAL FIRES/ARSON -I RPT,20
GRAND THEFT - I RPT,6
532 PC FRAUD OBTAIN MONEY ETC,4
148.1(A)PC FALSE REPT OF BOMB,2
GANG ACTIVITY - I RPT,65
SUSPICIOUS VEHICLE - I RPT,6
12303.3 PC DEST DVC INTENT INJ,1
20001(A) VC HIT/RUN INJ/DEATH,30
508 PC   EMBEZZLEMENT/EMPLOYEE,3
TOWED/STORED VEHICLE,434
POSS STOLEN VEHICLE- I RPT,5
11350(A)HS POSS CNTRL SUBST,43
FRAUD OR BUNCO - I RPT,19
11350(B)HS POSSESS QUAALUDES,9
653M(B) PC ANNOY/RPT CALL HOME,12
506 PC EMBEZZLEMENT/CONTRACTOR,1
10851(A)VC TAKE VEH W/O OWNER,653
ASSAULT WITH WEAPON - I RPT,16
TRAFFIC - I RPT,20
11351.5 HS POSS SALE RCK COCAI,8
NARCOTICS SUSP/EVID/ACT- I RPT,41
314.1 PC   INDECENT EXPOSURE,2
12020(A)(4) PC DIRK/DAGGER,7
PROB VIOLA/FEL-MISD - I RPT,7
211 PC ROBBERY-PURSE SNATCH,20
SAFEKEEPING - I RPT,14
475(A)PC POSS FORGED CHK/NOTE,13
530.5 PC USE PERSONAL ID INFO,65
484 PETTY THEFT-SHOPLIFT,86
POSSIBLE MENTAL - I RPT,5
487(A) PC GRAND THEFT-SHOPLIFT,6
TRAFFIC-ACCIDENT INJURY,182
484 PC  PETTY THEFT/ OUTSIDE,48
166(A)(4) WILFUL DISOBEY CT OR,10
MISCELLANEOUS I RPT (ZMISC),71
484 PETTY THEFT CLOUT UNLOCKED,20
484G(B) PC ACCESS CARD FRAUD,66
23153(A) VC DUI CAUSE INJURY,15
FOUND PROPERTY - I RPT,81
273.6(A) PC VIO DV COURT ORDER,25
11377(A)HS POSS CNTRL SUBST,2
11378 HS POSS/SALE AMPHETAMINE,10
HARASSMENT - I RPT,36
12025(A)2)CNCLD GUN ON PER/FEL,2
602(N)TRESP DRIVE ON PRIVATE P,1
TOWED/STORED VEH-14602.6,463
487(A) GRAND THEFT-AUTO PARTS,8
11359 HS POSS FOR SALE MARIJ,8
TERRORIST THREATS - I RPT,3
484J PC PUBLISH CARD INFO,21
11532(A)HS LOITER DRG ACTIVITY,5
417(A)2) PC BRANDISH FIREARM,5
12403.7(G) PC ILLGL POSS TRGAS,1
CHILD WELFARE - I RPT,16
PROTECTIVE CUSTODY-I RPT,9
9.40.020(A) JUVENILE CURFEW,3
FRAUD-SWINDLE,2
148(A)(1)PC RESIST PEACE OFFCR,10
647(F) PC PUB INTOX-DETOX ONLY,3
BOMBS/THREATS/EXPLOSIV- I RPT,4
368(B)(1) CRUELTY/ELDER/ W/INJ,1
487(A) PC GRAND THEFT,84
647(A) PC LEWD CONDUCT,1
666 PC PETTY THEFT W/PRI CONV,30
587C PC EVADE PAYMENT RAILFARE,1
TRAFFIC OFFENSE,3
278.5(A)DEPRIVE RIGHT OF CUSTO,1
23222(B)POSSESS MARIJ IN VEH,11
12.52.030 SCC UNLAWFUL CAMPING,7
415.5(A)(1) PC FIGHT SCHOOL GR,1
GRAFFITI PROBLEMS- I RPT,5
417.4 PC BRANDISH IMIT FIREARM,1
664/187(A) ATTEMPTED HOMICIDE,1
1767.3 WI CYA PAROLE HOLD,1
368(D) THEFT-ELDER >400,3
602(L)(1)TRESPASS REFUSE TO LV,3
308(B) PC MINOR POSS TOBACCO,6
243(B) PC  BATTERY - OFFICER,1
HAZARDOUS SITUATION - I RPT,2
12025(A)1)CONCLD GUN VEH/FEL,1
415(3) PC DIST PEACE OFF WORDS,2
12031(A)(1)PC LOADED GUN/PUB-M,1
243.6 BATTERY SCHOOL EMPLOYEE,4
23152(B) VC DUI BA .08 OR MORE,2
836.6(B) PC ESCAPE FROM ARREST,1
12.72.060I ADULT LOITER PLYGRD,1
CAR CLOUT -  I RPT,2
TRESPASS OR PROWLER- I RPT,6
LOST PROPERTY-MATRICULA I RPT,1
25632 BP CONSM ALC AFT CLOSING,1
484E(D)PC FRAUD POSS CARD INFO,2
HOMICIDE ASSAULT - I RPT,1
243.2(A)(1) BATT/SCHOOL INJURY,14
11357(E) MNR POSS MARIJ SCHOOL,3
470 PC FORGERY,1
4462.5 VC FALSE TAB/AVOID REG,3
1705 US DESTRUCT OF MAIL RECEP,2
653K PC POSS/SELL SWITCHBLADE,3
23550.5 VC 4+DUI IN 10 YEARS,1
RPT # CANCELLED- I RPT,2
626.10(A) PC POSS WPN SCHL ZN,4
12025(B)6 UNREG/CONCLED FIREAR,1
466 PC   POSS OF BURG TOOLS,6
241(B) ASSAULT ON POLICE OFFIC,1
32 PC ACCESSORY TO A CRIME,1
4574(A)WEAPON/TEAR GAS IN JAIL,1
FALSE PERSONATION - I RPT,1
10852 VC VEHICLE TAMPERING,3
849(B)(1) CERTIFICATE OF RELEA,4
12303.3 PC FIRE BOMB INT INJ,1
415(1) PC DISTURB PEACE/FIGHT,9
11379(A)HS SELL/TRANSP AMPHET,2
537(A)(1) DEFRAUD INKEEP/-$400,3
487(A) GRAND THEFT-COIN MACHIN,4
498(B)(5) THEFT OF ELECTRICITY,1
243.3 BATT TRANS PERS/PASS/INJ,1
496(A) PC REC STOLEN AUTO PART,1
12025(A)2)CONCL GUN ON PER/MSD,1
9.44.220 SCC ANIMAL AT LARGE,1
BAIT CAR 10851 VC TAKE VEHICLE,1
594.3(A)VANDAL/PLACE OF WORSHI,4
601(A) WI JUVENILE INCORRIGIBL,2
12022(A)(1)PC ARMED COMM FEL,1
12101(B)1)PC MINOR POSS AMMO,1
148.4(A)PC TAMPER FIRE PROT EQ,1
243(C)2 PC BATT/PO WITH INJURY,1
368(E) THEFT OF ELDER <$400,2
212.5(B) ROB-VICINITY OF ATM,1
602.5 PC ENTRY OF PROPERTY,1
11366 HS MAINTN PLACE TO SELL,1
COLLISION/ACCIDENT BOATS,1
10853 VC MALIC MISCHIEF TO VEH,2
VICE/GAMBLING ACT - I RPT,1
13.10.200 SCC DUMP PUB PLACES,1
11378 HS POSS CNTRL SUB/SALE,1
12316(B)(1)FELON POSSESS AMMO,2
31 VC FALSE INFO TO OFFICER,1
21200.5 VC BICYCLE DUI,1
243.4(A) SEXUAL BATTERY,2
5.136.050 NO TAXICAB PERMIT,1
4463(A)(1) VC ALTER REG,2
9.04.050C POSS OPEN CONTAINER,1
ABANDONED VEHICLE - I RPT,1
452(D)PC CAUSE FIRE OF PROPERT,1
10.48.150 E FALSIFY PKG PERMIT,1
FRAUDULENT DOCUMENTS- I RPT,3
374.3(A) PC ILLEGAL DUMPING,1
374.4(A) LITTERING,2
23110(B) VC THROW AT VEH W/INT,1
TRAFFIC ARREST FOR DA-I RPT,1
14601(A) VC LIC SUSP NEGLIGENT,1
192(C)(2)VEH MAN W/O GROSS NEG,2
485 PC PT OF FOUND PROPERTY,1
32210 EC WILFL DISTURB PUB SCH,1
368(C) CAUSE PAIN/INJ TO ELDER,1
FORGERY-PASSING COUNTERFEIT,1
245(C) AWDW/NO FIREARM/OFFICER,1
626.2 PC UNAUTH ENTRY CAMPUS,1
484 PETTY THEFT-PURSE SNATCH,2
WANTED SUBJ-O/S WANT/ I RPT,2
11351 HS POSS/SALE OPIATE/NARC,1
603  FORCED ENTRY/PROP DAMAGE,2
25662(A)BP POSS ALC BY MINOR,1
243(B) BATTERY DR/NURSE/EMERG,1
538D PC IMPERSON PEACE OFFICER,1
203 PC    MAYHEM,1
99170 PUBLIC UTILITIES CODE,1
136.1(C)(1) PC DISSUADE V/W,1
11361(B)HS ADLT FURN MNR MARIJ,1
12671 HS SALE/POSS ILLGL FRWRK,1
