crimedesc,frequency
NON INJ HR/MAIL OUT REPORT,90
1551(A) FUGITIVE FROM JUSTICE,13
VANDALISM - I RPT,24
484 PC  PETTY THEFT AUTO PART,4
11357(B)HS POSS -28.5GR MARIJ,51
11350(A)HS POSS CNTRL SUBST,43
602(K)TRESPASS:INJURE PROPERTY,4
314.1 PC   INDECENT EXPOSURE,2
148.9 PC FALSE ID TO OFFICER,13
PROTECTIVE CUSTODY-I RPT,9
CHILD WELFARE - I RPT,16
487(A) GRAND THEFT-CLOUT-UNLOC,11
9.04.070 URINATE/DEFECATE PUB,1
290(F)1 W/I 5 DAYS ADD CHANGE,8
NARCOTICS SUSP/EVID/ACT- I RPT,41
602(N)TRESP DRIVE ON PRIVATE P,1
25661 BP FALSE EVIDENCE OF AGE,2
12020(A)1) PROHIBITED FIREARM,10
9.40.020(A) JUVENILE CURFEW,3
273.6(A) PC VIO DV COURT ORDER,25
11550(A)HS UNDER INFL NARCOTIC,4
148(A)(1)PC RESIST PEACE OFFCR,10
GRAND THEFT - I RPT,6
594(B)(2)(A)VANDALISM GRAF-400,22
211 PC  ROBBERY-BANK,1
14601.1(A) VC LIC SUSP OTHER,6
POSSIBLE STOLEN PROPERTY-I RPT,5
11360(A)HS SALE/TRANSP MARIJ,1
11379(A)HS SALE/TRAN CNTRL SUB,1
11357(C)HS POSS +28.5GR MARIJ,2
INTOX REPORT/ADMIN PER - I RPT,1
22435.2(A) BP POSS SHOP CART,7
NEIGHBORHOOD DISTURBANCE-I RPT,15
FRAUD-SWINDLE,2
FILE-UNABLE TO DEFINE - I RPT,1
602(L)(1)TRESPASS REFUSE TO LV,3
487(A) GRAND THEFT-COIN MACHIN,4
484E(D)PC FRAUD POSS CARD INFO,2
12031(A)(1)PC LOADED GUN/PUB-M,1
12025(B)6 UNREG/CONCLED FIREAR,1
23222(B)POSSESS MARIJ IN VEH,11
470 PC FORGERY,1
HAZARDOUS SITUATION - I RPT,2
485 PC PT OF FOUND PROPERTY,1
374.3(A) PC ILLEGAL DUMPING,1
12022(A)(1)PC ARMED COMM FEL,1
12025(A)2)CONCL GUN ON PER/MSD,1
243.3 BATT TRANS PERS/PASS/INJ,1
VICE/GAMBLING ACT - I RPT,1
13.10.200 SCC DUMP PUB PLACES,1
496(A) PC REC STOLEN AUTO PART,1
14601(A) VC LIC SUSP NEGLIGENT,1
12316(B)(1)FELON POSSESS AMMO,2
148.4(A)PC TAMPER FIRE PROT EQ,1
21200.5 VC BICYCLE DUI,1
9.44.220 SCC ANIMAL AT LARGE,1
538D PC IMPERSON PEACE OFFICER,1
484 PETTY THEFT-PURSE SNATCH,2
245(C) AWDW/NO FIREARM/OFFICER,1
626.2 PC UNAUTH ENTRY CAMPUS,1
459 PC  BURGLARY RESIDENCE,356
459 PC  BURGLARY BUSINESS,135
ASSAULT WITH WEAPON - I RPT,16
487(A) PC GRAND THEFT,84
TELEPEST -I RPT,17
594(B)(1)PC  VANDALISM +$400,117
HARASSMENT - I RPT,36
LOST PROPERTY - I RPT,57
484G(A)PC USE FORGED CARD,6
530 PC FALSE PERS. REC PROP,5
246 PC SHOOT OCCUP DWELL/VEH,17
MISCELLANEOUS I RPT (ZMISC),71
211 PC ROBBERY- BUSINESS,38
594(B)(2)(A) VANDALISM/ -$400,195
20002(A) HIT/RUN,103
5150 WI DANGER SELF/OTHERS,106
PERSON INFORMATION - I RPT,16
GANG ACTIVITY - I RPT,65
20001(A) VC HIT/RUN INJ/DEATH,30
197 JUSTIFIABLE HOMI-CIVILIAN,1
12020(A)(4) PC DIRK/DAGGER,7
ROBBERY - I RPT,12
POSS STOLEN VEHICLE- I RPT,5
487(A) GRAND THEFT-AUTO PARTS,8
594(B)(1)VANDALISM GRAF +$400,9
BATTERY - I RPT,35
FAMILY DISTURBANCE - I RPT,13
ACCIDENTAL FIRES/ARSON -I RPT,20
BUSINESS PERMITS - I RPT,4
FORGERY-COUNTERFEITING,1
POSSIBLE MENTAL - I RPT,5
3056 PAROLE VIO - I RPT,27
BOMBS/THREATS/EXPLOSIV- I RPT,4
23103(A) RECKLESS ON HIGHWAY,8
666 PC PETTY THEFT W/PRI CONV,30
3056 PC PAROLE VIOLATION,5
12025(A)2)CNCLD GUN ON PER/FEL,2
11532(A)HS LOITER DRG ACTIVITY,5
SAFEKEEPING - I RPT,14
647(B) PC   PROSTITUTION,39
166(A)(4) WILFUL DISOBEY CT OR,10
487(A) PC GRAND THEFT-SHOPLIFT,6
11378 HS POSS/SALE AMPHETAMINE,10
RECOVERED PROPERTY - I RPT,5
23220 VC DRINKING WHILE DRVING,1
PROB VIOLA/FEL-MISD - I RPT,7
HIT AND RUN /SUSPECTS- I RPT,7
DAMAGE - I RPT,1
484E(A)PC THEFT OF CREDIT CARD,2
653.22(A) LOITER PROSTITUTION,12
602.1(A)TRES OBST BUSIN OPERAT,1
12021(A)(1)PC FELON POSS FRARM,8
243.4(E)(1)TOUCH FOR SEX PLEAS,2
451(B) PC ARSON OF INHAB STRUC,3
212.5(A)ROBBERY-INHAB DWELLING,8
368(B)(1) CRUELTY/ELDER/ W/INJ,1
ELDER ABUSE/PHYS/MENTAL-I RPT,7
647(I) PEEPING TOM-INHAB DWELL,1
HOMICIDE ASSAULT - I RPT,1
TRESPASS OR PROWLER- I RPT,6
664/187(A) ATTEMPTED HOMICIDE,1
243.6 BATTERY SCHOOL EMPLOYEE,4
415.5(A)(1) PC FIGHT SCHOOL GR,1
11379(A)HS SELL/TRANSP AMPHET,2
1767.3 WI CYA PAROLE HOLD,1
23152(B) VC DUI BA .08 OR MORE,2
25632 BP CONSM ALC AFT CLOSING,1
23550.5 VC 4+DUI IN 10 YEARS,1
12.52.030 SCC UNLAWFUL CAMPING,7
4462.5 VC FALSE TAB/AVOID REG,3
RPT # CANCELLED- I RPT,2
653K PC POSS/SELL SWITCHBLADE,3
626.10(A) PC POSS WPN SCHL ZN,4
594.3(A)VANDAL/PLACE OF WORSHI,4
FRAUDULENT DOCUMENTS- I RPT,3
12101(B)1)PC MINOR POSS AMMO,1
192(C)(2)VEH MAN W/O GROSS NEG,2
31 VC FALSE INFO TO OFFICER,1
243.4(A) SEXUAL BATTERY,2
203 PC    MAYHEM,1
11351 HS POSS/SALE OPIATE/NARC,1
99170 PUBLIC UTILITIES CODE,1
11361(B)HS ADLT FURN MNR MARIJ,1
